Comentario,Sentimiento,Profesor
En varias oportunidades deja tareas sin explicar.,negativo,Julián
Usualmente entrega calificaciones tarde.,negativo,Omar
Usualmente no explica claramente los temas.,negativo,Julián
En varias ocasiones se enfoca demasiado en teoría sin práctica.,negativo,Aldo
En repetidas ocasiones no utiliza ejemplos prácticos.,negativo,Omar
A lo largo del semestre no explica claramente los temas.,negativo,Miguel
Con regularidad omite parte del contenido.,negativo,David
Con frecuencia omite parte del contenido.,negativo,Ulises
Durante las sesiones no utiliza ejemplos prácticos.,negativo,Miguel
En muchas clases no proporciona retroalimentación.,negativo,Ulises
Durante las explicaciones entrega calificaciones tarde.,negativo,David
Durante las explicaciones interrumpe frecuentemente.,negativo,Julián
Con regularidad cambia las fechas sin avisar.,negativo,Aldo
En la materia no respeta el horario de clase.,negativo,Miguel
Usualmente interrumpe frecuentemente.,negativo,Miguel
Durante las sesiones es difícil entender sus clases.,negativo,Miguel
En varias oportunidades no proporciona retroalimentación.,negativo,Ulises
Durante el curso hace comentarios innecesarios.,negativo,David
En la materia interrumpe frecuentemente.,negativo,David
En repetidas ocasiones llega tarde con frecuencia.,negativo,Aldo
A lo largo del semestre interrumpe frecuentemente.,negativo,David
En sus clases no respeta el horario de clase.,negativo,Omar
En varias oportunidades no responde las dudas.,negativo,David
Con regularidad no sigue una estructura en clase.,negativo,Ulises
Durante las explicaciones deja tareas sin explicar.,negativo,Omar
En varias oportunidades no respeta el horario de clase.,negativo,Julián
A menudo se enfoca demasiado en teoría sin práctica.,negativo,Miguel
En sus clases cambia las fechas sin avisar.,negativo,Miguel
Con frecuencia no sigue una estructura en clase.,negativo,Aldo
En la materia no utiliza ejemplos prácticos.,negativo,Miguel
En sus clases es difícil entender sus clases.,negativo,Miguel
En la materia se enfoca demasiado en teoría sin práctica.,negativo,David
Con frecuencia no proporciona retroalimentación.,negativo,Miguel
En varias ocasiones no responde las dudas.,negativo,Ulises
Durante el curso interrumpe frecuentemente.,negativo,Julián
En repetidas ocasiones cambia las fechas sin avisar.,negativo,Julián
A menudo entrega calificaciones tarde.,negativo,David
En muchas clases se enfoca demasiado en teoría sin práctica.,negativo,Ulises
Con regularidad es difícil entender sus clases.,negativo,Miguel
Durante el curso omite parte del contenido.,negativo,Julián
A lo largo del semestre no utiliza ejemplos prácticos.,negativo,Omar
A menudo es difícil entender sus clases.,negativo,Julián
En sus clases deja tareas sin explicar.,negativo,Julián
Durante las explicaciones no respeta el horario de clase.,negativo,Aldo
Durante el curso deja tareas sin explicar.,negativo,Julián
A veces hace comentarios innecesarios.,negativo,Omar
Durante las sesiones entrega calificaciones tarde.,negativo,Omar
En varias oportunidades hace comentarios innecesarios.,negativo,Miguel
En varias ocasiones entrega calificaciones tarde.,negativo,Aldo
En repetidas ocasiones omite parte del contenido.,negativo,Aldo
A lo largo del semestre cambia las fechas sin avisar.,negativo,Omar
En muchas clases no utiliza ejemplos prácticos.,negativo,David
Durante las sesiones no sigue una estructura en clase.,negativo,Ulises
A lo largo del semestre se enfoca demasiado en teoría sin práctica.,negativo,Julián
En muchas clases llega tarde con frecuencia.,negativo,Aldo
Con frecuencia no respeta el horario de clase.,negativo,Julián
A lo largo del semestre no respeta el horario de clase.,negativo,Julián
Usualmente no responde las dudas.,negativo,Julián
Con frecuencia no responde las dudas.,negativo,Aldo
En muchas clases deja tareas sin explicar.,negativo,Aldo
Durante las sesiones deja tareas sin explicar.,negativo,Omar
En sus clases no sigue una estructura en clase.,negativo,Miguel
A veces entrega calificaciones tarde.,negativo,Aldo
En varias ocasiones llega tarde con frecuencia.,negativo,Omar
A menudo no proporciona retroalimentación.,negativo,David
Durante las sesiones interrumpe frecuentemente.,negativo,Julián
En varias ocasiones no proporciona retroalimentación.,negativo,Miguel
En repetidas ocasiones no explica claramente los temas.,negativo,Julián
A menudo hace comentarios innecesarios.,negativo,Omar
En varias ocasiones interrumpe frecuentemente.,negativo,Aldo
En la materia no responde las dudas.,negativo,Miguel
En sus clases omite parte del contenido.,negativo,David
En muchas clases no explica claramente los temas.,negativo,Omar
En varias ocasiones no explica claramente los temas.,negativo,Julián
En repetidas ocasiones no respeta el horario de clase.,negativo,Omar
Durante las explicaciones cambia las fechas sin avisar.,negativo,Aldo
Durante las sesiones no respeta el horario de clase.,negativo,Miguel
A menudo no sigue una estructura en clase.,negativo,Omar
En varias oportunidades omite parte del contenido.,negativo,Aldo
En sus clases no utiliza ejemplos prácticos.,negativo,Omar
Durante las sesiones no responde las dudas.,negativo,Omar
En varias ocasiones es difícil entender sus clases.,negativo,David
Con regularidad no responde las dudas.,negativo,Aldo
Durante el curso no respeta el horario de clase.,negativo,Omar
Durante las explicaciones no proporciona retroalimentación.,negativo,Julián
Durante las explicaciones no responde las dudas.,negativo,Aldo
En muchas clases es difícil entender sus clases.,negativo,Aldo
Con regularidad no utiliza ejemplos prácticos.,negativo,Miguel
En sus clases no responde las dudas.,negativo,Aldo
Con regularidad no proporciona retroalimentación.,negativo,Julián
Usualmente no utiliza ejemplos prácticos.,negativo,Omar
A menudo no explica claramente los temas.,negativo,Miguel
En la materia deja tareas sin explicar.,negativo,Ulises
Durante el curso entrega calificaciones tarde.,negativo,Aldo
En repetidas ocasiones deja tareas sin explicar.,negativo,Aldo
En sus clases interrumpe frecuentemente.,negativo,David
Con regularidad se enfoca demasiado en teoría sin práctica.,negativo,Omar
A lo largo del semestre entrega calificaciones tarde.,negativo,Miguel
Usualmente no sigue una estructura en clase.,negativo,David
A menudo omite parte del contenido.,negativo,Julián
A menudo interrumpe frecuentemente.,negativo,Julián
Durante el curso no proporciona retroalimentación.,negativo,Ulises
Con regularidad deja tareas sin explicar.,negativo,Omar
A menudo cambia las fechas sin avisar.,negativo,Aldo
Durante el curso se enfoca demasiado en teoría sin práctica.,negativo,Miguel
En la materia no explica claramente los temas.,negativo,Aldo
Con frecuencia entrega calificaciones tarde.,negativo,Omar
"muy buena clase, aunque noce xq repite",positivo,David
ps todo ok con el profe,positivo,Miguel
normal,neutral,Miguel
no destaca pero cumple,neutral,Aldo
profe standard,neutral,David
ni bien ni mal,neutral,Aldo
"me gusta como va la clase, pero k flojera aveces",positivo,Ulises
lo q se espera d un profe,neutral,Ulises
no m gusto,negativo,Aldo
clase clase clase,neutral,Omar
pzz no sirve,negativo,Aldo
a veces se va pero vuelve y explica bien,positivo,Miguel
no entiendo nada y me estresa,negativo,Aldo
demasiado confuso,negativo,Omar
ps hace su trabajo,neutral,Miguel
nada especial,neutral,Miguel
el profe ta bn,positivo,Ulises
explica bn pero a veces me pierdo,positivo,Miguel
mal plan,negativo,Ulises
"ps mal, muy mal",negativo,David
osea q explica,positivo,Aldo
ahi va,neutral,Ulises
ta bien,positivo,Miguel
cumple y ya,neutral,Omar
bn bn bn,positivo,Omar
todo normal,neutral,Ulises
mejor profe de este semestre yo creo,positivo,David
todo bn en clase,positivo,Julián
k flojera su clase,negativo,Ulises
se va mucho del tema,negativo,David
noce q dice,negativo,Omar
osea nada q ver,negativo,Miguel
habla y explica lo q tiene q explicar,neutral,Miguel
clase aburrida,negativo,Omar
no entendi nada xq no explica,negativo,Ulises
me pierdo d+ en su clase,negativo,Ulises
no le importa si aprendemos o no,negativo,Ulises
nose si aprendo pero me cae bn,positivo,Aldo
bno pero el profe siempre se esfuerza xd,positivo,Aldo
explica bien aunq a veces se va x las ramas jeje,positivo,Julián
muy amable aunq la clase no siempre es clara,positivo,David
yo aprendo pero creo q es xq ya sabia algo,positivo,Ulises
gracioso y eso hace la clase menos pesada,positivo,Miguel
no es ni malo ni el mejor jsjs,neutral,Miguel
"profe normalito, da igual quien sea",neutral,Omar
nunca supe su nombre pero pues da la clase,neutral,Ulises
pues cumple su funcion supongo,neutral,David
las clases van pasando y uno ahi va,neutral,Julián
creo q perdí el tiempo jsjs,negativo,David
osea me aburro un buen,negativo,Julián
"no me gustó nada, pero eso ya es personal",negativo,Ulises
hay profe que no más no,negativo,Julián
lo intenté pero no pude seguir su clase,negativo,Julián
pizza con piña y el profe xd,neutral,Ulises
me dormí soñando con dragones,neutral,Julián
hoy me duele la cabeza y no es x el profe,neutral,Miguel
hay veces que todo da igual,neutral,Aldo
me puse a pensar en tacos,neutral,Miguel
ayer soñé que aprobaba sin estudiar,neutral,Ulises
mi perro se sentó a ver la clase,neutral,Omar
no entiendo la clase pero sí el universo,neutral,David
cuando respiras profundo y nada cambia,neutral,Omar
mi teclado se descompuso justo hoy,neutral,Julián
No me gusta ,negativo,Aldo
No me gusta ,negativo,Ulises
Muy buen maestro,positivo,David
Muy buen maestro,positivo,Aldo
Muy guapo maestro,positivo,David
No enseña nada,negativo,David
No es bueno explicando,negativo,David
Excelente maestro,positivo,David
No hace las diapositivas,negativo,Omar
Muy bien maestro,positivo,David
No hace diapositivas,negativo,Omar
Muy buen maestro explica muy bien ,positivo,David
Muy buen el profe ,positivo,David
